issue_id,severity,affected_records,affected_rate,evidence,risk,handling
weak_swebench_labels,high,336,0.3463917525773196,"SWE-bench records are pipeline_stage=degradation_search_done and notes explicitly say weak-label, not ground_truth_ready.",Treating them as strict gold can bias calibration and overstate test validity.,Exclude from the strong-label primary set; include only in named sensitivity analysis.
paper_record_confidence_tension,high,336,0.3463917525773196,"The paper describes the release broadly as execution-verified, while record-level SWE notes explicitly downgrade confidence.",Dataset-level prose can obscure row-level qualification.,Record-level pipeline_stage/notes take precedence for this audit; preserve both claims in documentation.
github_hf_byte_serialization_difference,low,970,1.0,"GitHub and HF JSONL SHA-256 differ, but all parsed records are semantically identical in order.",A byte-only comparison would report a false content conflict.,Freeze and report both hashes; require semantic equality and Parquet core-field equality.
optional_functions_missing,low,722,0.7443298969072165,Only BFCL rows provide top-level function schemas; other workloads do not require them.,Null must not be interpreted as broken tool context outside tool-use workloads.,Normalize absent schemas to an empty tools list and retain workload context.
nonstandard_reasoning_field,medium,34,0.03505154639175258,Some prefixes contain an assistant reasoning field without a portable cross-provider representation.,OpenAI Responses/Chat and Anthropic mappings cannot guarantee lossless private-reasoning replay.,"Keep it in messages_json for audit, exclude it from deterministic text views, and flag information loss."
duplicate_ids,none,0,0.0,Deterministic structural integrity check.,Would invalidate row-grain or join assumptions if non-zero.,No issue observed in the frozen revision.
duplicate_instance_step,none,0,0.0,Deterministic structural integrity check.,Would invalidate row-grain or join assumptions if non-zero.,No issue observed in the frozen revision.
conflicting_instance_step_labels,none,0,0.0,Deterministic structural integrity check.,Would invalidate row-grain or join assumptions if non-zero.,No issue observed in the frozen revision.
tier_id_mismatch,none,0,0.0,Deterministic structural integrity check.,Would invalidate row-grain or join assumptions if non-zero.,No issue observed in the frozen revision.
missing_messages,none,0,0.0,Deterministic structural integrity check.,Would invalidate row-grain or join assumptions if non-zero.,No issue observed in the frozen revision.
instance_step_count_mismatch,none,0,0.0,Deterministic structural integrity check.,Would invalidate row-grain or join assumptions if non-zero.,No issue observed in the frozen revision.
noncontiguous_steps,none,0,0.0,Deterministic structural integrity check.,Would invalidate row-grain or join assumptions if non-zero.,No issue observed in the frozen revision.
jsonl_parquet_mismatch,none,0,0.0,Deterministic structural integrity check.,Would invalidate row-grain or join assumptions if non-zero.,No issue observed in the frozen revision.
