instance_id,repo,problem_statement_hash,input_token_count,truncated,p2l_difficulty_primary,p2l_difficulty_neg_median,p2l_difficulty_neg_mean,p2l_beta_spread,beta_min,beta_p10,beta_median,beta_mean,beta_p90,beta_max,eta,p2l_rank,p2l_percentile,p2l_tertile,model_list_revision
astropy__astropy-12907,astropy/astropy,c01334ec1b21a089c650cf2e7b96ab974469076bf1260d23885799e1f0a7551f,386,False,0.13846153846153847,-0.6113889217376709,-0.5639073848724365,1.270950996875763,-1.194846749305725,-0.04904823303222655,0.6113889217376709,0.5639073848724365,1.2219027638435365,1.7116981744766235,-0.22961410880088806,20,0.03807615230460922,Easy,7a4e145dbbe841b986d570e5be36fd634f7451f9f0676599cf465cac32601e52
astropy__astropy-13033,astropy/astropy,a295c83e68ff62290947b0796b75659b94621b7f2340d6f0055512d04be3f1d1,852,False,0.18461538461538463,-0.5307067036628723,-0.49444708228111267,1.2711772441864013,-1.3204096555709839,-0.12557324171066284,0.5307067036628723,0.49444708228111267,1.1456040024757386,1.621903419494629,-0.4780902862548828,86,0.17034068136272545,Easy,7a4e145dbbe841b986d570e5be36fd634f7451f9f0676599cf465cac32601e52
astropy__astropy-13236,astropy/astropy,1f01b57c4e17057a2427b8ed897618f91782d22e98804b706826ba936a3d5ec4,557,False,0.26153846153846155,-0.33654823899269104,-0.280712366104126,1.2683198004961018,-1.382739543914795,-0.397353920340538,0.33654823899269104,0.280712366104126,0.8709658801555638,1.6359975337982178,-0.3737746775150299,185,0.3687374749498998,Medium,7a4e145dbbe841b986d570e5be36fd634f7451f9f0676599cf465cac32601e52
astropy__astropy-13398,astropy/astropy,c26c8dc258dc5cb9dd34f30bdbaaed3f19a8ada137e0f19d81d7f57dc5f11bba,1434,False,0.13076923076923078,-0.5775072574615479,-0.5408220291137695,1.241950723528862,-1.1920182704925537,-0.0552971929311752,0.5775072574615479,0.5408220291137695,1.1866535305976869,1.7268012762069702,-0.4765442907810211,11,0.02004008016032064,Easy,7a4e145dbbe841b986d570e5be36fd634f7451f9f0676599cf465cac32601e52
astropy__astropy-13453,astropy/astropy,be929904c3062b54da2fa3ad7de338bd7f1f41a5aa48e64bec41f244d6e17c5a,2712,False,0.2076923076923077,-0.4428360164165497,-0.36949974298477173,1.3885257840156555,-1.3988831043243408,-0.35906453132629396,0.4428360164165497,0.36949974298477173,1.0294612526893616,1.5987966060638428,0.00804722961038351,124,0.24649298597194388,Easy,7a4e145dbbe841b986d570e5be36fd634f7451f9f0676599cf465cac32601e52
astropy__astropy-13579,astropy/astropy,70a48b6e4c77b5abc12b1e750bbb70110b7215d19c9ea3550f2b7261be84021d,1762,False,0.16923076923076924,-0.5216414928436279,-0.492800772190094,1.311145675182343,-1.3001292943954468,-0.1439010977745056,0.5216414928436279,0.492800772190094,1.1672445774078373,1.7195918560028076,-0.17529229819774628,61,0.12024048096192384,Easy,7a4e145dbbe841b986d570e5be36fd634f7451f9f0676599cf465cac32601e52
astropy__astropy-13977,astropy/astropy,53b72f8a5aed23f5d11650d7d4ae0e36c820cfade3c8ebcc7b718055a80d1cb2,1019,False,0.2846153846153846,-0.3032040596008301,-0.23013149201869965,1.2871117293834686,-1.501840591430664,-0.4426056623458862,0.3032040596008301,0.23013149201869965,0.8445060670375825,1.5267326831817627,-0.2146439105272293,212,0.4228456913827655,Medium,7a4e145dbbe841b986d570e5be36fd634f7451f9f0676599cf465cac32601e52
astropy__astropy-14096,astropy/astropy,938971021e89cd882f6ea33d61202fe7aa0091d7be4748b100ddc7e164db90cd,294,False,0.3,-0.2658698558807373,-0.19382397830486298,1.2553155452013016,-1.4221858978271484,-0.455690798163414,0.2658698558807373,0.19382397830486298,0.7996247470378877,1.5724973678588867,-0.17204301059246063,237,0.4729458917835671,Medium,7a4e145dbbe841b986d570e5be36fd634f7451f9f0676599cf465cac32601e52
astropy__astropy-14182,astropy/astropy,2f743a72613ab0e8e063ff7b7f0a233015ad12ba14992625d9f84b315fa885fd,646,False,0.23846153846153847,-0.36417627334594727,-0.3099824786186218,1.2957897692918783,-1.368941307067871,-0.3680042654275894,0.36417627334594727,0.3099824786186218,0.9277855038642888,1.6630618572235107,-0.5995966196060181,159,0.3166332665330661,Easy,7a4e145dbbe841b986d570e5be36fd634f7451f9f0676599cf465cac32601e52
astropy__astropy-14309,astropy/astropy,27b74ed7081579a5f310188d6ed6ac4da1d785c492b00052d605b7ba04d036b9,1600,False,0.2076923076923077,-0.49682265520095825,-0.44429364800453186,1.3458327546715736,-1.3931044340133667,-0.23530501276254653,0.49682265520095825,0.44429364800453186,1.1105277419090271,1.7672666311264038,-0.1714717000722885,125,0.24849699398797595,Easy,7a4e145dbbe841b986d570e5be36fd634f7451f9f0676599cf465cac32601e52
